"filename", "language", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\README.md", "Markdown", 105, 0, 0, 0, 44, 149
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\package-lock.json", "JSON", 0, 0, 3700, 0, 1, 3701
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\package.json", "JSON", 0, 0, 40, 0, 0, 40
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\reflektion.md", "Markdown", 11, 0, 0, 0, 8, 19
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\src\CostCalculator.js", "JavaScript", 0, 103, 0, 11, 30, 144
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\src\Subscription.js", "JavaScript", 0, 65, 0, 14, 20, 99
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\src\SubscriptionCollection.js", "JavaScript", 0, 35, 0, 10, 10, 55
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\src\UsageAnalyzer.js", "JavaScript", 0, 26, 0, 7, 6, 39
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\src\index.js", "JavaScript", 0, 4, 0, 6, 1, 11
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\test-app\app.js", "JavaScript", 0, 78, 0, 25, 33, 136
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\test-app\manual-tests.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\hanna\OneDrive\Skrivbord\WP2\1dv610\1dv610-L2\testrapport.md", "Markdown", 0, 0, 0, 0, 1, 1
"Total", "-", 116, 311, 3740, 73, 155, 4395
